"","Bat1","Runs","BF","SR","4s","6s","Opposition","Ground","Start Date","Match_ID","Batsman","Player_ID"
"5920","20","20","24","83.33","3","0","v Sri Lanka","Ranchi","16 Nov 2014","ODI # 3547","Kedar Jadhav",290716
"5921","5","5","13","38.46","1","0","v Zimbabwe","Harare","10 Jul 2015","ODI # 3662","Kedar Jadhav",290716
"5922","16","16","13","123.07","1","0","v Zimbabwe","Harare","12 Jul 2015","ODI # 3665","Kedar Jadhav",290716
"5923","105*","105","87","120.68","12","1","v Zimbabwe","Harare","14 Jul 2015","ODI # 3667","Kedar Jadhav",290716
"5924","DNB","-","-","-","-","-","v Zimbabwe","Harare","11 Jun 2016","ODI # 3742","Kedar Jadhav",290716
"5925","DNB","-","-","-","-","-","v Zimbabwe","Harare","13 Jun 2016","ODI # 3744","Kedar Jadhav",290716
"5926","DNB","-","-","-","-","-","v Zimbabwe","Harare","15 Jun 2016","ODI # 3746","Kedar Jadhav",290716
"5927","10*","10","12","83.33","2","0","v New Zealand","Dharamsala","16 Oct 2016","ODI # 3796","Kedar Jadhav",290716
"5928","41","41","37","110.81","2","2","v New Zealand","Delhi","20 Oct 2016","ODI # 3797","Kedar Jadhav",290716
"5929","DNB","-","-","-","-","-","v New Zealand","Mohali","23 Oct 2016","ODI # 3798","Kedar Jadhav",290716
"5930","0","0","1","0.00","0","0","v New Zealand","Ranchi","26 Oct 2016","ODI # 3799","Kedar Jadhav",290716
"5931","39*","39","37","105.40","2","1","v New Zealand","Visakhapatnam","29 Oct 2016","ODI # 3800","Kedar Jadhav",290716
"5932","120","120","76","157.89","12","4","v England","Pune","15 Jan 2017","ODI # 3819","Kedar Jadhav",290716
"5933","22","22","10","220.00","3","1","v England","Cuttack","19 Jan 2017","ODI # 3821","Kedar Jadhav",290716
"5934","90","90","75","120.00","12","1","v England","Kolkata","22 Jan 2017","ODI # 3824","Kedar Jadhav",290716
"5935","DNB","-","-","-","-","-","v Pakistan","Birmingham","4 Jun 2017","ODI # 3878","Kedar Jadhav",290716
"5936","25*","25","13","192.30","3","1","v Sri Lanka","The Oval","8 Jun 2017","ODI # 3882","Kedar Jadhav",290716
"5937","DNB","-","-","-","-","-","v South Africa","The Oval","11 Jun 2017","ODI # 3886","Kedar Jadhav",290716
"5938","DNB","-","-","-","-","-","v Bangladesh","Birmingham","15 Jun 2017","ODI # 3891","Kedar Jadhav",290716
"5939","9","9","13","69.23","2","0","v Pakistan","The Oval","18 Jun 2017","ODI # 3894","Kedar Jadhav",290716
"5940","DNB","-","-","-","-","-","v West Indies","Port of Spain","23 Jun 2017","ODI # 3895","Kedar Jadhav",290716
"5941","13*","13","6","216.66","2","0","v West Indies","Port of Spain","25 Jun 2017","ODI # 3896","Kedar Jadhav",290716
"5942","40*","40","26","153.84","4","1","v West Indies","North Sound","30 Jun 2017","ODI # 3898","Kedar Jadhav",290716
"5943","10","10","14","71.42","0","0","v West Indies","North Sound","2 Jul 2017","ODI # 3900","Kedar Jadhav",290716
"5944","DNB","-","-","-","-","-","v West Indies","Kingston","6 Jul 2017","ODI # 3902","Kedar Jadhav",290716
"5945","DNB","-","-","-","-","-","v Sri Lanka","Dambulla","20 Aug 2017","ODI # 3905","Kedar Jadhav",290716
"5946","1","1","3","33.33","0","0","v Sri Lanka","Pallekele","24 Aug 2017","ODI # 3906","Kedar Jadhav",290716
"5947","0","0","2","0.00","0","0","v Sri Lanka","Pallekele","27 Aug 2017","ODI # 3907","Kedar Jadhav",290716
"5948","63","63","73","86.30","7","0","v Sri Lanka","Colombo (RPS)","3 Sep 2017","ODI # 3909","Kedar Jadhav",290716
"5949","40","40","54","74.07","5","0","v Australia","Chennai","17 Sep 2017","ODI # 3910","Kedar Jadhav",290716
"5950","24","24","24","100.00","2","1","v Australia","Kolkata","21 Sep 2017","ODI # 3912","Kedar Jadhav",290716
"5951","2","2","4","50.00","0","0","v Australia","Indore","24 Sep 2017","ODI # 3914","Kedar Jadhav",290716
"5952","67","67","69","97.10","7","1","v Australia","Bengaluru","28 Sep 2017","ODI # 3917","Kedar Jadhav",290716
"5953","5*","5","8","62.50","1","0","v Australia","Nagpur","1 Oct 2017","ODI # 3919","Kedar Jadhav",290716
"5954","12","12","25","48.00","1","0","v New Zealand","Mumbai","22 Oct 2017","ODI # 3928","Kedar Jadhav",290716
"5955","DNB","-","-","-","-","-","v New Zealand","Pune","25 Oct 2017","ODI # 3931","Kedar Jadhav",290716
"5956","18","18","10","180.00","1","1","v New Zealand","Kanpur","29 Oct 2017","ODI # 3932","Kedar Jadhav",290716
"5957","DNB","-","-","-","-","-","v South Africa","Durban","1 Feb 2018","ODI # 3969","Kedar Jadhav",290716
"5958","DNB","-","-","-","-","-","v South Africa","Centurion","4 Feb 2018","ODI # 3970","Kedar Jadhav",290716
"5959","1","1","3","33.33","0","0","v South Africa","Cape Town","7 Feb 2018","ODI # 3971","Kedar Jadhav",290716
"5960","28*","28","27","103.70","0","1","v Hong Kong","Dubai (DSC)","18 Sep 2018","ODI # 4039","Kedar Jadhav",290716
"5961","DNB","-","-","-","-","-","v Pakistan","Dubai (DSC)","19 Sep 2018","ODI # 4040","Kedar Jadhav",290716
"5962","DNB","-","-","-","-","-","v Bangladesh","Dubai (DSC)","21 Sep 2018","ODI # 4042","Kedar Jadhav",290716
"5963","DNB","-","-","-","-","-","v Pakistan","Dubai (DSC)","23 Sep 2018","ODI # 4044","Kedar Jadhav",290716
"5964","19","19","26","73.07","2","0","v Afghanistan","Dubai (DSC)","25 Sep 2018","ODI # 4046","Kedar Jadhav",290716
"5965","23*","23","27","85.18","1","1","v Bangladesh","Dubai (DSC)","28 Sep 2018","ODI # 4048","Kedar Jadhav",290716
"5966","16*","16","7","228.57","3","0","v West Indies","Mumbai (BS)","29 Oct 2018","ODI # 4063","Kedar Jadhav",290716
"5967","DNB","-","-","-","-","-","v West Indies","Thiruvananthapuram","1 Nov 2018","ODI # 4064","Kedar Jadhav",290716
"5968","61*","61","57","107.01","7","0","v Australia","Melbourne","18 Jan 2019","ODI # 4079","Kedar Jadhav",290716
"5969","DNB","-","-","-","-","-","v New Zealand","Napier","23 Jan 2019","ODI # 4082","Kedar Jadhav",290716
"5970","22*","22","10","220.00","3","1","v New Zealand","Mount Maunganui","26 Jan 2019","ODI # 4085","Kedar Jadhav",290716
"5971","DNB","-","-","-","-","-","v New Zealand","Mount Maunganui","28 Jan 2019","ODI # 4088","Kedar Jadhav",290716
"5972","1","1","7","14.28","0","0","v New Zealand","Hamilton","31 Jan 2019","ODI # 4091","Kedar Jadhav",290716
"5973","34","34","45","75.55","3","0","v New Zealand","Wellington","3 Feb 2019","ODI # 4092","Kedar Jadhav",290716
"5974","81*","81","87","93.10","9","1","v Australia","Hyderabad (Deccan)","2 Mar 2019","ODI # 4102","Kedar Jadhav",290716
"5975","11","11","12","91.66","1","0","v Australia","Nagpur","5 Mar 2019","ODI # 4106","Kedar Jadhav",290716
"5976","26","26","39","66.66","3","0","v Australia","Ranchi","8 Mar 2019","ODI # 4109","Kedar Jadhav",290716
"5977","10","10","12","83.33","0","0","v Australia","Mohali","10 Mar 2019","ODI # 4111","Kedar Jadhav",290716
"5978","44","44","57","77.19","4","1","v Australia","Delhi","13 Mar 2019","ODI # 4113","Kedar Jadhav",290716
"5979","0","0","1","0.00","0","0","v Bangladesh","Chittagong","23 Dec 2004","ODI # 2199","MS Dhoni ",28081
"5980","12","12","11","109.09","2","0","v Bangladesh","Dhaka","26 Dec 2004","ODI # 2201","MS Dhoni ",28081
"5981","7*","7","2","350.00","0","1","v Bangladesh","Dhaka","27 Dec 2004","ODI # 2202","MS Dhoni ",28081
"5982","3","3","7","42.85","0","0","v Pakistan","Kochi","2 Apr 2005","ODI # 2235","MS Dhoni ",28081
"5983","148","148","123","120.32","15","4","v Pakistan","Visakhapatnam","5 Apr 2005","ODI # 2236","MS Dhoni ",28081
"5984","28","28","24","116.66","5","0","v Pakistan","Jamshedpur","9 Apr 2005","ODI # 2237","MS Dhoni ",28081
"5985","47","47","64","73.43","4","1","v Pakistan","Ahmedabad","12 Apr 2005","ODI # 2238","MS Dhoni ",28081
"5986","11","11","16","68.75","1","0","v Pakistan","Kanpur","15 Apr 2005","ODI # 2239","MS Dhoni ",28081
"5987","24","24","38","63.15","2","0","v Pakistan","Delhi","17 Apr 2005","ODI # 2240","MS Dhoni ",28081
"5988","2","2","7","28.57","0","0","v Sri Lanka","Dambulla","30 Jul 2005","ODI # 2262","MS Dhoni ",28081
"5989","15*","15","11","136.36","1","1","v West Indies","Dambulla","31 Jul 2005","ODI # 2263","MS Dhoni ",28081
"5990","20","20","27","74.07","1","0","v Sri Lanka","Dambulla","3 Aug 2005","ODI # 2265","MS Dhoni ",28081
"5991","28*","28","13","215.38","1","2","v West Indies","Colombo (RPS)","7 Aug 2005","ODI # 2267","MS Dhoni ",28081
"5992","7","7","11","63.63","0","0","v Sri Lanka","Colombo (RPS)","9 Aug 2005","ODI # 2268","MS Dhoni ",28081
"5993","2","2","5","40.00","0","0","v New Zealand","Bulawayo","26 Aug 2005","ODI # 2273","MS Dhoni ",28081
"5994","56","56","46","121.73","2","4","v Zimbabwe","Harare","29 Aug 2005","ODI # 2274","MS Dhoni ",28081
"5995","37*","37","27","137.03","3","2","v New Zealand","Harare","2 Sep 2005","ODI # 2278","MS Dhoni ",28081
"5996","67*","67","63","106.34","1","3","v Zimbabwe","Harare","4 Sep 2005","ODI # 2280","MS Dhoni ",28081
"5997","11","11","16","68.75","1","0","v New Zealand","Harare","6 Sep 2005","ODI # 2281","MS Dhoni ",28081
"5998","38","38","28","135.71","3","2","v Sri Lanka","Nagpur","25 Oct 2005","ODI # 2286","MS Dhoni ",28081
"5999","DNB","-","-","-","-","-","v Sri Lanka","Mohali","28 Oct 2005","ODI # 2287","MS Dhoni ",28081
"6000","183*","183","145","126.20","15","10","v Sri Lanka","Jaipur","31 Oct 2005","ODI # 2290","MS Dhoni ",28081
"6001","45*","45","43","104.65","1","2","v Sri Lanka","Pune","3 Nov 2005","ODI # 2291","MS Dhoni ",28081
"6002","0","0","1","0.00","0","0","v Sri Lanka","Ahmedabad","6 Nov 2005","ODI # 2294","MS Dhoni ",28081
"6003","DNB","-","-","-","-","-","v Sri Lanka","Rajkot","9 Nov 2005","ODI # 2295","MS Dhoni ",28081
"6004","80","80","73","109.58","9","3","v Sri Lanka","Vadodara","12 Nov 2005","ODI # 2296","MS Dhoni ",28081
"6005","17","17","28","60.71","1","0","v South Africa","Hyderabad (Deccan)","16 Nov 2005","ODI # 2297","MS Dhoni ",28081
"6006","DNB","-","-","-","-","-","v South Africa","Bengaluru","19 Nov 2005","ODI # 2298","MS Dhoni ",28081
"6007","14","14","26","53.84","0","0","v South Africa","Kolkata","25 Nov 2005","ODI # 2299","MS Dhoni ",28081
"6008","12","12","26","46.15","1","0","v South Africa","Mumbai","28 Nov 2005","ODI # 2300","MS Dhoni ",28081
"6009","68","68","53","128.30","11","1","v Pakistan","Peshawar","6 Feb 2006","ODI # 2324","MS Dhoni ",28081
"6010","DNB","-","-","-","-","-","v Pakistan","Rawalpindi","11 Feb 2006","ODI # 2327","MS Dhoni ",28081
"6011","72*","72","46","156.52","13","0","v Pakistan","Lahore","13 Feb 2006","ODI # 2329","MS Dhoni ",28081
"6012","2*","2","5","40.00","0","0","v Pakistan","Multan","16 Feb 2006","ODI # 2331","MS Dhoni ",28081
"6013","77*","77","56","137.50","6","4","v Pakistan","Karachi","19 Feb 2006","ODI # 2333","MS Dhoni ",28081
"6014","20","20","28","71.42","2","0","v England","Delhi","28 Mar 2006","ODI # 2357","MS Dhoni ",28081
"6015","38","38","55","69.09","2","0","v England","Faridabad","31 Mar 2006","ODI # 2358","MS Dhoni ",28081
"6016","13*","13","6","216.66","1","1","v England","Margao","3 Apr 2006","ODI # 2359","MS Dhoni ",28081
"6017","10*","10","13","76.92","1","0","v England","Kochi","6 Apr 2006","ODI # 2360","MS Dhoni ",28081
"6018","96","96","106","90.56","10","3","v England","Jamshedpur","12 Apr 2006","ODI # 2361","MS Dhoni ",28081
"6019","3","3","10","30.00","0","0","v Pakistan","Abu Dhabi","18 Apr 2006","ODI # 2363","MS Dhoni ",28081
"6020","59","59","72","81.94","5","0","v Pakistan","Abu Dhabi","19 Apr 2006","ODI # 2364","MS Dhoni ",28081
"6021","18","18","11","163.63","2","1","v West Indies","Kingston","18 May 2006","ODI # 2377","MS Dhoni ",28081
"6022","2","2","7","28.57","0","0","v West Indies","Kingston","20 May 2006","ODI # 2379","MS Dhoni ",28081
"6023","15","15","26","57.69","1","0","v West Indies","Basseterre","23 May 2006","ODI # 2380","MS Dhoni ",28081
"6024","46*","46","58","79.31","6","0","v West Indies","Port of Spain","26 May 2006","ODI # 2381","MS Dhoni ",28081
"6025","14","14","19","73.68","2","0","v West Indies","Port of Spain","28 May 2006","ODI # 2382","MS Dhoni ",28081
"6026","DNB","-","-","-","-","-","v Sri Lanka","Colombo (SSC)","18 Aug 2006","ODI # 2405","MS Dhoni ",28081
"6027","2","2","10","20.00","0","0","v West Indies","Kuala Lumpur","14 Sep 2006","ODI # 2414","MS Dhoni ",28081
"6028","DNB","-","-","-","-","-","v Australia","Kuala Lumpur","16 Sep 2006","ODI # 2416","MS Dhoni ",28081
"6029","18","18","13","138.46","4","0","v West Indies","Kuala Lumpur","20 Sep 2006","ODI # 2419","MS Dhoni ",28081
"6030","23","23","34","67.64","0","1","v Australia","Kuala Lumpur","22 Sep 2006","ODI # 2421","MS Dhoni ",28081
"6031","7","7","22","31.81","0","0","v England","Jaipur","15 Oct 2006","ODI # 2429","MS Dhoni ",28081
"6032","51","51","65","78.46","1","2","v West Indies","Ahmedabad","26 Oct 2006","ODI # 2437","MS Dhoni ",28081
"6033","28","28","23","121.73","2","0","v Australia","Mohali","29 Oct 2006","ODI # 2440","MS Dhoni ",28081
"6034","14","14","27","51.85","3","0","v South Africa","Durban","22 Nov 2006","ODI # 2447","MS Dhoni ",28081
"6035","55","55","48","114.58","3","4","v South Africa","Cape Town","26 Nov 2006","ODI # 2449","MS Dhoni ",28081
"6036","26","26","21","123.80","4","1","v South Africa","Port Elizabeth","29 Nov 2006","ODI # 2452","MS Dhoni ",28081
"6037","44","44","49","89.79","2","2","v South Africa","Centurion","3 Dec 2006","ODI # 2458","MS Dhoni ",28081
"6038","62*","62","42","147.61","3","4","v West Indies","Nagpur","21 Jan 2007","ODI # 2480","MS Dhoni ",28081
"6039","6","6","19","31.57","0","0","v West Indies","Cuttack","24 Jan 2007","ODI # 2485","MS Dhoni ",28081
"6040","40*","40","20","200.00","1","3","v West Indies","Vadodara","31 Jan 2007","ODI # 2493","MS Dhoni ",28081
"6041","TDNB","-","-","-","-","-","v Sri Lanka","Kolkata","8 Feb 2007","ODI # 2514","MS Dhoni ",28081
"6042","48","48","68","70.58","1","0","v Sri Lanka","Rajkot","11 Feb 2007","ODI # 2520","MS Dhoni ",28081
"6043","67*","67","74","90.54","4","0","v Sri Lanka","Margao","14 Feb 2007","ODI # 2522","MS Dhoni ",28081
"6044","DNB","-","-","-","-","-","v Sri Lanka","Visakhapatnam","17 Feb 2007","ODI # 2525","MS Dhoni ",28081
"6045","0","0","3","0.00","0","0","v Bangladesh","Port of Spain","17 Mar 2007","ODI # 2538","MS Dhoni ",28081
"6046","29","29","25","116.00","2","1","v Bermuda","Port of Spain","19 Mar 2007","ODI # 2542","MS Dhoni ",28081
"6047","0","0","1","0.00","0","0","v Sri Lanka","Port of Spain","23 Mar 2007","ODI # 2550","MS Dhoni ",28081
"6048","91*","91","106","85.84","7","0","v Bangladesh","Dhaka","10 May 2007","ODI # 2582","MS Dhoni ",28081
"6049","36","36","54","66.66","4","0","v Bangladesh","Dhaka","12 May 2007","ODI # 2583","MS Dhoni ",28081
"6050","2","2","4","50.00","0","0","v Africa XI","Bengaluru","6 Jun 2007","ODI # 2587","MS Dhoni ",28081
"6051","33","33","38","86.84","2","2","v Africa XI","Chennai","9 Jun 2007","ODI # 2588","MS Dhoni ",28081
"6052","139*","139","97","143.29","15","5","v Africa XI","Chennai","10 Jun 2007","ODI # 2589","MS Dhoni ",28081
"6053","0","0","4","0.00","0","0","v South Africa","Belfast","29 Jun 2007","ODI # 2593","MS Dhoni ",28081
"6054","14*","14","11","127.27","2","0","v South Africa","Belfast","1 Jul 2007","ODI # 2595","MS Dhoni ",28081
"6055","DNB","-","-","-","-","-","v Scotland","Glasgow","16 Aug 2007","ODI # 2608","MS Dhoni ",28081
"6056","19","19","60","31.66","1","0","v England","Southampton","21 Aug 2007","ODI # 2611","MS Dhoni ",28081
"6057","21","21","18","116.66","3","0","v England","Bristol","24 Aug 2007","ODI # 2613","MS Dhoni ",28081
"6058","13","13","20","65.00","0","0","v England","Birmingham","27 Aug 2007","ODI # 2616","MS Dhoni ",28081
"6059","13","13","18","72.22","1","0","v England","Manchester","30 Aug 2007","ODI # 2617","MS Dhoni ",28081
"6060","24","24","17","141.17","3","0","v England","Leeds","2 Sep 2007","ODI # 2618","MS Dhoni ",28081
"6061","35","35","37","94.59","3","0","v England","The Oval","5 Sep 2007","ODI # 2619","MS Dhoni ",28081
"6062","50","50","72","69.44","4","1","v England","Lord's","8 Sep 2007","ODI # 2620","MS Dhoni ",28081
"6063","DNB","-","-","-","-","-","v Australia","Bengaluru","29 Sep 2007","ODI # 2621","MS Dhoni ",28081
"6064","58","58","88","65.90","2","2","v Australia","Kochi","2 Oct 2007","ODI # 2623","MS Dhoni ",28081
"6065","33","33","37","89.18","4","0","v Australia","Hyderabad (Deccan)","5 Oct 2007","ODI # 2625","MS Dhoni ",28081
"6066","50*","50","35","142.85","5","1","v Australia","Chandigarh","8 Oct 2007","ODI # 2627","MS Dhoni ",28081
"6067","4","4","7","57.14","1","0","v Australia","Vadodara","11 Oct 2007","ODI # 2629","MS Dhoni ",28081
"6068","26","26","29","89.65","2","1","v Australia","Nagpur","14 Oct 2007","ODI # 2631","MS Dhoni ",28081
"6069","5","5","11","45.45","1","0","v Australia","Mumbai","17 Oct 2007","ODI # 2632","MS Dhoni ",28081
"6070","63","63","77","81.81","8","0","v Pakistan","Guwahati","5 Nov 2007","ODI # 2643","MS Dhoni ",28081
"6071","4","4","10","40.00","0","0","v Pakistan","Mohali","8 Nov 2007","ODI # 2644","MS Dhoni ",28081
"6072","49","49","52","94.23","4","2","v Pakistan","Kanpur","11 Nov 2007","ODI # 2645","MS Dhoni ",28081
"6073","45*","45","45","100.00","3","1","v Pakistan","Gwalior","15 Nov 2007","ODI # 2646","MS Dhoni ",28081
"6074","24","24","32","75.00","1","0","v Pakistan","Jaipur","18 Nov 2007","ODI # 2647","MS Dhoni ",28081
"6075","37","37","61","60.65","1","0","v Australia","Brisbane","3 Feb 2008","ODI # 2670","MS Dhoni ",28081
"6076","88*","88","95","92.63","5","1","v Sri Lanka","Brisbane","5 Feb 2008","ODI # 2672","MS Dhoni ",28081
"6077","17*","17","54","31.48","0","0","v Australia","Melbourne","10 Feb 2008","ODI # 2675","MS Dhoni ",28081
"6078","31","31","26","119.23","3","0","v Sri Lanka","Canberra","12 Feb 2008","ODI # 2676","MS Dhoni ",28081
"6079","37","37","50","74.00","1","0","v Australia","Adelaide","17 Feb 2008","ODI # 2680","MS Dhoni ",28081
"6080","50*","50","68","73.52","0","0","v Sri Lanka","Adelaide","19 Feb 2008","ODI # 2681","MS Dhoni ",28081
"6081","36","36","66","54.54","4","0","v Australia","Sydney","24 Feb 2008","ODI # 2685","MS Dhoni ",28081
"6082","DNB","-","-","-","-","-","v Sri Lanka","Hobart","26 Feb 2008","ODI # 2686","MS Dhoni ",28081
"6083","15*","15","12","125.00","3","0","v Australia","Sydney","2 Mar 2008","ODI # 2688","MS Dhoni ",28081
"6084","36","36","37","97.29","2","1","v Australia","Brisbane","4 Mar 2008","ODI # 2689","MS Dhoni ",28081
"6085","24","24","23","104.34","5","0","v Pakistan","Dhaka","10 Jun 2008","ODI # 2705","MS Dhoni ",28081
"6086","DNB","-","-","-","-","-","v Bangladesh","Dhaka","12 Jun 2008","ODI # 2706","MS Dhoni ",28081
"6087","64","64","59","108.47","3","2","v Pakistan","Dhaka","14 Jun 2008","ODI # 2707","MS Dhoni ",28081
"6088","109*","109","96","113.54","6","6","v Hong Kong","Karachi","25 Jun 2008","ODI # 2716","MS Dhoni ",28081
"6089","26*","26","30","86.66","0","1","v Pakistan","Karachi","26 Jun 2008","ODI # 2717","MS Dhoni ",28081
"6090","DNB","-","-","-","-","-","v Bangladesh","Karachi","28 Jun 2008","ODI # 2721","MS Dhoni ",28081
"6091","76","76","96","79.16","4","0","v Pakistan","Karachi","2 Jul 2008","ODI # 2730","MS Dhoni ",28081
"6092","67","67","62","108.06","5","1","v Sri Lanka","Karachi","3 Jul 2008","ODI # 2732","MS Dhoni ",28081
"6093","49","49","74","66.21","4","0","v Sri Lanka","Karachi","6 Jul 2008","ODI # 2735","MS Dhoni ",28081
"6094","6","6","28","21.42","0","0","v Sri Lanka","Dambulla","18 Aug 2008","ODI # 2742","MS Dhoni ",28081
"6095","39","39","54","72.22","3","0","v Sri Lanka","Dambulla","20 Aug 2008","ODI # 2745","MS Dhoni ",28081
"6096","76","76","80","95.00","8","0","v Sri Lanka","Colombo (RPS)","24 Aug 2008","ODI # 2750","MS Dhoni ",28081
"6097","71","71","80","88.75","4","0","v Sri Lanka","Colombo (RPS)","27 Aug 2008","ODI # 2755","MS Dhoni ",28081
"6098","1","1","7","14.28","0","0","v Sri Lanka","Colombo (RPS)","29 Aug 2008","ODI # 2756","MS Dhoni ",28081
"6099","39","39","32","121.87","3","1","v England","Rajkot","14 Nov 2008","ODI # 2774","MS Dhoni ",28081
"6100","15","15","26","57.69","1","0","v England","Indore","17 Nov 2008","ODI # 2777","MS Dhoni ",28081
"6101","29*","29","51","56.86","4","0","v England","Kanpur","20 Nov 2008","ODI # 2778","MS Dhoni ",28081
"6102","9","9","5","180.00","0","1","v England","Bengaluru","23 Nov 2008","ODI # 2781","MS Dhoni ",28081
"6103","50","50","61","81.96","5","0","v England","Cuttack","26 Nov 2008","ODI # 2783","MS Dhoni ",28081
"6104","61*","61","65","93.84","5","0","v Sri Lanka","Dambulla","28 Jan 2009","ODI # 2806","MS Dhoni ",28081
"6105","23","23","35","65.71","0","0","v Sri Lanka","Colombo (RPS)","31 Jan 2009","ODI # 2810","MS Dhoni ",28081
"6106","35*","35","45","77.77","1","0","v Sri Lanka","Colombo (RPS)","3 Feb 2009","ODI # 2813","MS Dhoni ",28081
"6107","94","94","96","97.91","4","2","v Sri Lanka","Colombo (RPS)","5 Feb 2009","ODI # 2815","MS Dhoni ",28081
"6108","53","53","58","91.37","1","2","v Sri Lanka","Colombo (RPS)","8 Feb 2009","ODI # 2818","MS Dhoni ",28081
"6109","84*","84","89","94.38","6","0","v New Zealand","Napier","3 Mar 2009","ODI # 2821","MS Dhoni ",28081
"6110","23*","23","19","121.05","2","0","v New Zealand","Wellington","6 Mar 2009","ODI # 2822","MS Dhoni ",28081
"6111","68","68","58","117.24","5","2","v New Zealand","Christchurch","8 Mar 2009","ODI # 2823","MS Dhoni ",28081
"6112","DNB","-","-","-","-","-","v New Zealand","Hamilton","11 Mar 2009","ODI # 2824","MS Dhoni ",28081
"6113","9","9","21","42.85","1","0","v New Zealand","Auckland","14 Mar 2009","ODI # 2825","MS Dhoni ",28081
"6114","41","41","46","89.13","2","1","v West Indies","Kingston","26 Jun 2009","ODI # 2852","MS Dhoni ",28081
"6115","95","95","130","73.07","6","2","v West Indies","Kingston","28 Jun 2009","ODI # 2853","MS Dhoni ",28081
"6116","46*","46","34","135.29","2","1","v West Indies","Gros Islet","3 Jul 2009","ODI # 2854","MS Dhoni ",28081
"6117","TDNB","-","-","-","-","-","v West Indies","Gros Islet","5 Jul 2009","ODI # 2855","MS Dhoni ",28081
"6118","35*","35","65","53.84","4","0","v New Zealand","Colombo (RPS)","11 Sep 2009","ODI # 2886","MS Dhoni ",28081
"6119","8","8","18","44.44","0","0","v Sri Lanka","Colombo (RPS)","12 Sep 2009","ODI # 2887","MS Dhoni ",28081
"6120","56","56","62","90.32","3","0","v Sri Lanka","Colombo (RPS)","14 Sep 2009","ODI # 2889","MS Dhoni ",28081
"6121","3","3","9","33.33","0","0","v Pakistan","Centurion","26 Sep 2009","ODI # 2898","MS Dhoni ",28081
"6122","TDNB","-","-","-","-","-","v Australia","Centurion","28 Sep 2009","ODI # 2901","MS Dhoni ",28081
"6123","DNB","-","-","-","-","-","v West Indies","Johannesburg","30 Sep 2009","ODI # 2904","MS Dhoni ",28081
"6124","34","34","46","73.91","4","0","v Australia","Vadodara","25 Oct 2009","ODI # 2913","MS Dhoni ",28081
"6125","124","124","107","115.88","9","3","v Australia","Nagpur","28 Oct 2009","ODI # 2915","MS Dhoni ",28081
"6126","71*","71","95","74.73","6","0","v Australia","Delhi","31 Oct 2009","ODI # 2918","MS Dhoni ",28081
"6127","26","26","46","56.52","2","0","v Australia","Mohali","2 Nov 2009","ODI # 2919","MS Dhoni ",28081
"6128","6","6","15","40.00","0","0","v Australia","Hyderabad (Deccan)","5 Nov 2009","ODI # 2923","MS Dhoni ",28081
"6129","24","24","77","31.16","1","0","v Australia","Guwahati","8 Nov 2009","ODI # 2925","MS Dhoni ",28081
"6130","72","72","53","135.84","7","3","v Sri Lanka","Rajkot","15 Dec 2009","ODI # 2932","MS Dhoni ",28081
"6131","107","107","111","96.39","8","2","v Sri Lanka","Nagpur","18 Dec 2009","ODI # 2933","MS Dhoni ",28081
"6132","TDNB","-","-","-","-","-","v Sri Lanka","Delhi","27 Dec 2009","ODI # 2936","MS Dhoni ",28081
"6133","37","37","70","52.85","3","0","v Sri Lanka","Dhaka","5 Jan 2010","ODI # 2938","MS Dhoni ",28081
"6134","101*","101","107","94.39","9","0","v Bangladesh","Dhaka","7 Jan 2010","ODI # 2939","MS Dhoni ",28081
"6135","DNB","-","-","-","-","-","v Sri Lanka","Dhaka","10 Jan 2010","ODI # 2941","MS Dhoni ",28081
"6136","32","32","35","91.42","3","0","v Bangladesh","Dhaka","11 Jan 2010","ODI # 2942","MS Dhoni ",28081
"6137","14","14","19","73.68","3","0","v Sri Lanka","Dhaka","13 Jan 2010","ODI # 2943","MS Dhoni ",28081
"6138","26","26","29","89.65","2","0","v South Africa","Jaipur","21 Feb 2010","ODI # 2961","MS Dhoni ",28081
"6139","68*","68","35","194.28","7","4","v South Africa","Gwalior","24 Feb 2010","ODI # 2962","MS Dhoni ",28081
"6140","9","9","7","128.57","0","1","v South Africa","Ahmedabad","27 Feb 2010","ODI # 2963","MS Dhoni ",28081
"6141","38*","38","45","84.44","3","1","v Bangladesh","Dambulla","16 Jun 2010","ODI # 2993","MS Dhoni ",28081
"6142","56","56","71","78.87","2","1","v Pakistan","Dambulla","19 Jun 2010","ODI # 2996","MS Dhoni ",28081
"6143","41","41","53","77.35","6","0","v Sri Lanka","Dambulla","22 Jun 2010","ODI # 2999","MS Dhoni ",28081
"6144","38","38","50","76.00","2","1","v Sri Lanka","Dambulla","24 Jun 2010","ODI # 3001","MS Dhoni ",28081
"6145","2","2","9","22.22","0","0","v New Zealand","Dambulla","10 Aug 2010","ODI # 3030","MS Dhoni ",28081
"6146","23*","23","38","60.52","2","0","v Sri Lanka","Dambulla","16 Aug 2010","ODI # 3032","MS Dhoni ",28081
"6147","10","10","16","62.50","2","0","v Sri Lanka","Dambulla","22 Aug 2010","ODI # 3038","MS Dhoni ",28081
"6148","38","38","75","50.66","3","0","v New Zealand","Dambulla","25 Aug 2010","ODI # 3039","MS Dhoni ",28081
"6149","67","67","100","67.00","5","1","v Sri Lanka","Dambulla","28 Aug 2010","ODI # 3040","MS Dhoni ",28081
